bin,fhit,ebin,cut,mc,rd,,,,,,,,mcmc500,mcrd500,mcrdthres500,mcmc1200,mcrd1200,mcrdthres1200,mcrd1000,mcrdthres1000,rdmc1000,rdmcthres1000
0,0,2.5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
1,0,2.75,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
2,0,3,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
3,0,3.25,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
4,0,3.5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
5,0,3.75,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
6,0,4,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
7,0,4.25,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
8,0,4.5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
9,0,4.75,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
10,0,5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
11,0,5.25,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
12,0.067,2.5,0,0,0,,,,,,,,9.42 ,9.27 ,9.23 ,9.51,0,0,0,9.27,9.59,9.59
13,0.067,2.75,15.6,15.91,15.7,,,,,,,,16.35 ,16.30 ,16.08 ,16.09,0,0,0,15.98,15.87,15.87
14,0.067,3,9.81,9.7,8.44,,,,,,,,9.49 ,9.86 ,9.90 ,0,5.22,5.22,0,9.32,0,0
15,0.067,3.25,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,15.7,15.7,0,0,0,0
16,0.067,3.5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
17,0.067,3.75,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
18,0.067,4,3.88,3.21,0,,,,,,,,2.87 ,3.32 ,3.32 ,2.73,2.99,2.99,2.99,3.05,0,0
19,0.067,4.25,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
20,0.067,4.5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
21,0.067,4.75,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
22,0.067,5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
23,0.067,5.25,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
24,0.105,2.5,0,0,0,,,,,,,,5.16 ,5.03 ,5.03 ,4.69,0,0,0,4.32,5.21,5.21
25,0.105,2.75,20.2,21.53,21.43,,,,,,,,21.59 ,21.23 ,21.32 ,21.6,0,0,0,21.54,22.1,22.1
26,0.105,3,22.63,24.94,24.15,,,,,,,,25.33 ,25.05 ,25.05 ,24.91,0,0,0,24.88,24.56,0
27,0.105,3.25,9.39,9.96,10.45,,,,,,,,10.63 ,10.03 ,10.03 ,10.14,0,0,0,9.58,10.27,10.27
28,0.105,3.5,0,4.18,0,,,,,,,,3.87 ,4.06 ,4.06 ,4,3.22,0,0,3.65,3.59,3.59
29,0.105,3.75,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
30,0.105,4,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
31,0.105,4.25,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
32,0.105,4.5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
33,0.105,4.75,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
34,0.105,5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
35,0.105,5.25,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
36,0.162,2.5,0,0,1.27,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
37,0.162,2.75,9.87,6.61,9.66,,,,,,,,11.20 ,10.81 ,10.81 ,10.64,0,0,0,10.29,9.89,9.89
38,0.162,3,34.49,37.95,36.35,,,,,,,,38.06 ,38.12 ,38.12 ,37.44,0,0,0,0,37.03,37.03
39,0.162,3.25,33.91,37.29,35.09,,,,,,,,37.63 ,36.06 ,36.06 ,37.4,0,0,0,36.63,35.07,35.07
40,0.162,3.5,10.79,12.37,11.5,,,,,,,,12.53 ,11.77 ,11.77 ,11.84,12,0,0,11.63,11.25,11.25
41,0.162,3.75,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,2.81,0,0,0,0,0,0
42,0.162,4,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
43,0.162,4.25,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
44,0.162,4.5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
45,0.162,4.75,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
46,0.162,5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
47,0.162,5.25,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
48,0.247,2.5,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
49,0.247,2.75,0,0,0,,,,,,,,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0
50,0.247,3,15.93,17.72,17.28,,,,,,,,17.57 ,17.89 ,17.89 ,17.85,17.34,17.34,0,18.09,17.62,17.62
51,0.247,3.25,42.5,47.89,46.04,,,,,,,,47.40 ,47.75 ,47.75 ,47.2,0,0,0,47.06,45.91,45.91
52,0.247,3.5,34.71,39.38,36.87,,,,,,,,20.13 ,39.89 ,39.89 ,39.48,39.28,0,0,38.94,36.22,36.22
53,0.247,3.75,10.86,12.98,12.69,,,,,,,,13.34 ,13.05 ,13.05 ,13.66,13.42,13.51,0,13.26,13.27,13.27
54,0.247,4,0,0,4.01,,,,,,,,3.14 ,3.29 ,3.29 ,0,3,3.01,3,3.47,0,0
