bin,fhit,ebin,cut,mc,,1000mcmc,1000mcmc2,1000mcmc5,1000mcrd,1000mcrd2
0,0,2.5,0,0,,0,0,0,0.00 ,0.00 
1,0,2.75,0,0,,0,0,0,0.00 ,0.00 
2,0,3,0,0,,0,0,0,0.00 ,0.00 
3,0,3.25,0,0,,0,0,0,0.00 ,0.00 
4,0,3.5,0,0,,0,0,0,0.00 ,0.00 
5,0,3.75,0,0,,0,0,0,0.00 ,0.00 
6,0,4,0,0,,0,0,0,0.00 ,0.00 
7,0,4.25,0,0,,0,0,0,0.00 ,0.00 
8,0,4.5,0,0,,0,0,0,0.00 ,0.00 
9,0,4.75,0,0,,0,0,0,0.00 ,0.00 
10,0,5,0,0,,0,0,0,0.00 ,0.00 
11,0,5.25,0,0,,0,0,0,0.00 ,0.00 
12,0.067,2.5,0,0,,9.16,9.16,9.16,9.48 ,9.48 
13,0.067,2.75,15.6,15.91,,15.91,15.91,15.91,16.14 ,16.14 
14,0.067,3,9.81,9.7,,0,0,0,0.00 ,0.00 
15,0.067,3.25,0,0,,0,0,0,0.00 ,0.00 
16,0.067,3.5,0,0,,0,0,0,0.00 ,0.00 
17,0.067,3.75,0,0,,0,0,0,0.00 ,0.00 
18,0.067,4,3.88,3.21,,3.21,3.21,3.21,2.94 ,2.94 
19,0.067,4.25,0,0,,0,0,0,0.00 ,0.00 
20,0.067,4.5,0,0,,0,0,0,0.00 ,0.00 
21,0.067,4.75,0,0,,0,0,0,0.00 ,0.00 
22,0.067,5,0,0,,0,0,0,0.00 ,0.00 
23,0.067,5.25,0,0,,0,0,0,0.00 ,0.00 
24,0.105,2.5,0,0,,4.58,4.58,4.58,4.35 ,4.35 
25,0.105,2.75,20.2,21.53,,21.53,21.53,21.53,21.49 ,21.49 
26,0.105,3,22.63,24.94,,24.94,24.94,24.94,25.00 ,25.00 
27,0.105,3.25,9.39,9.96,,10,10,9.99,9.84 ,9.84 
28,0.105,3.5,0,4.18,,4.18,4.18,4.18,3.47 ,3.47 
29,0.105,3.75,0,0,,0,0,0,0.00 ,0.00 
30,0.105,4,0,0,,0,0,0,0.00 ,0.00 
31,0.105,4.25,0,0,,0,0,0,0.00 ,0.00 
32,0.105,4.5,0,0,,0,0,0,0.00 ,0.00 
33,0.105,4.75,0,0,,0,0,0,0.00 ,0.00 
34,0.105,5,0,0,,0,0,0,0.00 ,0.00 
35,0.105,5.25,0,0,,0,0,0,0.00 ,0.00 
36,0.162,2.5,0,0,,0,0,0,0.00 ,0.00 
37,0.162,2.75,9.87,10.64,,6.75,9,10.71,10.29 ,10.29 
38,0.162,3,34.49,37.95,,37.95,37.95,37.95,38.03 ,38.03 
39,0.162,3.25,33.91,37.29,,37.28,37.28,37.55,36.19 ,36.19 
40,0.162,3.5,10.79,12.37,,12.36,12.36,12.36,12.17 ,12.17 
41,0.162,3.75,0,0,,0,0,0,0.00 ,0.00 
42,0.162,4,0,0,,0,0,0,0.00 ,0.00 
43,0.162,4.25,0,0,,0,0,0,0.00 ,0.00 
44,0.162,4.5,0,0,,0,0,0,0.00 ,0.00 
45,0.162,4.75,0,0,,0,0,0,0.00 ,0.00 
46,0.162,5,0,0,,0,0,0,0.00 ,0.00 
47,0.162,5.25,0,0,,0,0,0,0.00 ,0.00 
48,0.247,2.5,0,0,,0,0,0,0.00 ,0.00 
49,0.247,2.75,0,0,,0,0,0,0.00 ,0.00 
50,0.247,3,15.93,17.72,,17.72,17.72,17.72,17.70 ,17.70 
51,0.247,3.25,42.5,47.89,,47.89,47.89,47.89,47.49 ,47.49 
52,0.247,3.5,34.71,39.38,,39.38,39.38,39.38,39.55 ,39.55 
53,0.247,3.75,10.86,12.98,,12.98,12.98,12.74,13.30 ,13.30 
54,0.247,4,0,0,,0,0,3.42,3.05 ,3.05 
55,0.247,4.25,0,0,,0,0,0,0.00 ,0.00 
56,0.247,4.5,0,0,,0,0,0,0.00 ,0.00 
57,0.247,4.75,0,0,,0,0,0,0.00 ,0.00 
58,0.247,5,0,0,,0,0,0,0.00 ,0.00 
59,0.247,5.25,0,0,,0,0,0,0.00 ,0.00 
60,0.356,2.5,0,0,,0,0,0,0.00 ,0.00 
61,0.356,2.75,0,0,,0,0,0,0.00 ,0.00 
62,0.356,3,0,0,,0,0,0,0.00 ,0.00 
63,0.356,3.25,17.51,19.93,,19.93,19.93,19.93,19.42 ,19.42 
64,0.356,3.5,44.59,47.17,,30.6,47.17,48.49,49.33 ,49.33 
65,0.356,3.75,30.07,35.42,,35.42,35.42,35.42,36.03 ,36.03 
66,0.356,4,8.32,10.31,,10.31,10.31,11.43,8.96 ,8.96 
67,0.356,4.25,0,0,,0,0,0,0.00 ,0.00 
68,0.356,4.5,0,0,,0,0,0,0.00 ,0.00 
69,0.356,4.75,0,0,,0,0,0,0.00 ,0.00 
