fhit,ebin,cut,Model_trainwithmc,Model_trainwithrealdata
0,2.5,0,0,0
0,2.75,0,0,0
0,3,0,0,0
0,3.25,0,0,0
0,3.5,0,0,0
0,3.75,0,0,0
0,4,0,0,0
0,4.25,0,0,0
0,4.5,0,0,0
0,4.75,0,0,0
0,5,0,0,0
0,5.25,0,0,0
0.067,2.5,0,0,0
0.067,2.75,15.6,15.91,15.7
0.067,3,9.81,9.7,8.44
0.067,3.25,0,0,0
0.067,3.5,0,0,0
0.067,3.75,0,0,0
0.067,4,3.88,3.21,0
0.067,4.25,0,0,0
0.067,4.5,0,0,0
0.067,4.75,0,0,0
0.067,5,0,0,0
0.067,5.25,0,0,0
0.105,2.5,0,0,0
0.105,2.75,20.2,21.53,21.43
0.105,3,22.63,24.94,24.15
0.105,3.25,9.39,9.96,0
0.105,3.5,0,4.18,0
0.105,3.75,0,0,0
0.105,4,0,0,0
0.105,4.25,0,0,0
0.105,4.5,0,0,0
0.105,4.75,0,0,0
0.105,5,0,0,0
0.105,5.25,0,0,0
0.162,2.5,0,0,1.27
0.162,2.75,9.87,6.61,0
0.162,3,34.49,37.95,36.35
0.162,3.25,33.91,37.29,35.09
0.162,3.5,10.79,12.37,11.5
0.162,3.75,0,0,0
0.162,4,0,0,0
0.162,4.25,0,0,0
0.162,4.5,0,0,0
0.162,4.75,0,0,0
0.162,5,0,0,0
0.162,5.25,0,0,0
0.247,2.5,0,0,0
0.247,2.75,0,0,0
0.247,3,15.93,17.72,17.28
0.247,3.25,42.5,47.89,46.04
0.247,3.5,34.71,39.38,36.87
0.247,3.75,10.86,12.98,12.69
0.247,4,0,0,4.01
0.247,4.25,0,0,0
0.247,4.5,0,0,0
0.247,4.75,0,0,0
0.247,5,0,0,0
0.247,5.25,0,0,0
0.356,2.5,0,0,0
0.356,2.75,0,0,0
0.356,3,0,0,0
0.356,3.25,17.51,19.93,16.84
0.356,3.5,44.59,47.17,46.63
0.356,3.75,30.07,35.42,34.54
0.356,4,8.32,10.31,7.74
0.356,4.25,0,0,0
0.356,4.5,0,0,0
0.356,4.75,0,0,0
0.356,5,0,0,0
0.356,5.25,0,0,0
0.485,2.5,0,0,0
0.485,2.75,0,0,0
0.485,3,0,0,0
0.485,3.25,0,0,3.04
0.485,3.5,22.24,22.45,21.6
0.485,3.75,37.34,38.86,0
0.485,4,23.51,22.36,23.23
0.485,4.25,7.89,7.51,5.77
0.485,4.5,0,0,0
0.485,4.75,0,0,0
0.485,5,0,0,0
0.485,5.25,0,0,0
0.618,2.5,0,0,0
0.618,2.75,0,0,0
0.618,3,0,0,0
0.618,3.25,0,0,0
0.618,3.5,0,0,0
0.618,3.75,20.86,20.06,20.94
0.618,4,27,28.11,0
0.618,4.25,17.67,18.21,12.32
0.618,4.5,4.74,4.65,4.12
0.618,4.75,0,0,0
0.618,5,0,0,0
0.618,5.25,0,0,0
0.74,2.5,0,0,0
0.74,2.75,0,0,0
0.74,3,0,0,0
0.74,3.25,0,0,0
0.74,3.5,0,0,0
0.74,3.75,0,0,0
0.74,4,17.12,18.31,16.89
0.74,4.25,16.69,17.38,14.83
0.74,4.5,0,0,0
0.74,4.75,0,0,2.6
0.74,5,0,0,0
0.74,5.25,0,0,0
0.84,2.5,0,0,0
0.84,2.75,0,0,0
0.84,3,0,0,0
0.84,3.25,0,0,0
0.84,3.5,0,0,0
0.84,3.75,0,0,0
0.84,4,0,0,0
0.84,4.25,14.9,16.09,0
0.84,4.5,15,15.09,9.78
0.84,4.75,8.5,8.8,6.29
0.84,5,3.88,3.21,0
0.84,5.25,0,0,0
